ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Predicted_Delay,Delay_Confidence_%
2814,F,Ship,4,4,127,4,high,M,54,1239,1,Yes,99.5
2815,D,Ship,3,3,214,2,low,M,28,3869,1,Yes,100.0
2816,F,Ship,4,1,161,3,low,M,59,1454,1,Yes,99.8
2817,A,Ship,4,2,262,2,low,F,37,3523,1,Yes,100.0
2818,B,Ship,5,2,157,3,low,M,1,1798,1,Yes,80.5
2819,C,Ship,3,1,164,3,medium,F,9,1803,1,Yes,85.3
2820,F,Ship,4,4,174,2,low,F,11,1577,1,Yes,99.8
2821,D,Ship,2,2,188,4,medium,M,39,2424,1,Yes,100.0
2822,F,Ship,3,1,141,2,low,F,4,1297,1,Yes,83.1
2823,A,Ship,5,5,134,2,medium,M,64,1785,1,Yes,99.7
2824,B,Ship,2,4,147,2,medium,F,65,1738,1,Yes,99.8
2825,C,Ship,4,1,180,3,medium,M,27,1551,1,Yes,99.8
2826,F,Ship,3,3,225,2,medium,M,55,2259,1,Yes,100.0
2827,D,Ship,2,3,172,3,medium,F,11,1522,1,Yes,99.8
2828,F,Ship,6,2,131,5,medium,F,5,1718,1,No,46.4
2829,A,Ship,3,1,270,4,low,M,47,3487,1,Yes,100.0
2830,B,Ship,3,4,172,3,low,M,56,1103,1,Yes,99.9
2831,C,Ship,4,5,198,3,medium,M,33,2129,1,Yes,100.0
2832,F,Ship,4,2,167,3,low,M,21,1637,1,Yes,99.8
2833,D,Ship,2,2,168,5,medium,F,1,1885,1,Yes,55.1
2834,F,Ship,4,1,165,4,medium,F,34,1831,1,Yes,99.5
2835,A,Ship,4,5,149,6,medium,M,40,1974,1,Yes,99.0
2836,B,Ship,3,3,186,3,low,M,24,3262,1,Yes,100.0
2837,C,Ship,4,1,151,2,low,F,47,1682,1,Yes,99.8
2838,F,Ship,3,5,146,3,medium,F,30,1569,1,Yes,99.9
2839,D,Ship,4,5,232,2,low,M,54,2526,1,Yes,100.0
2840,F,Ship,4,1,177,2,low,F,22,1698,1,Yes,99.7
2841,A,Ship,4,4,149,2,medium,F,19,1665,1,Yes,99.8
2842,B,Ship,4,2,180,3,low,M,3,1518,1,Yes,82.8
2843,C,Ship,5,5,172,2,medium,F,40,1446,1,Yes,99.7
2844,F,Ship,5,2,160,3,medium,M,44,1054,1,Yes,99.7
2845,D,Ship,3,2,206,2,medium,F,28,2822,1,Yes,100.0
2846,F,Ship,4,5,146,3,low,F,9,1685,1,Yes,83.1
2847,A,Ship,2,1,257,2,low,F,24,2130,1,Yes,100.0
2848,B,Ship,5,5,219,3,medium,M,27,3430,1,Yes,100.0
2849,C,Ship,4,2,274,2,medium,M,55,3416,1,Yes,100.0
2850,F,Ship,2,2,177,5,low,M,36,1249,1,Yes,99.6
2851,D,Road,4,3,209,2,medium,M,57,3741,1,Yes,100.0
2852,F,Road,4,1,207,2,low,M,2,3242,1,Yes,92.3
2853,A,Road,4,4,153,3,low,F,27,1613,1,Yes,99.8
2854,B,Road,4,4,158,3,low,F,61,1507,1,Yes,99.8
2855,C,Road,3,4,261,2,medium,F,52,3340,1,Yes,100.0
2856,F,Road,4,1,182,6,low,M,41,2047,1,Yes,100.0
2857,D,Road,2,3,128,2,medium,F,53,1530,1,Yes,99.9
2858,F,Road,2,1,178,3,low,M,6,1184,1,Yes,84.6
2859,A,Road,2,4,198,3,low,M,37,2555,1,Yes,100.0
2860,B,Road,4,3,137,3,medium,M,46,1299,1,Yes,99.8
2861,C,Road,4,1,168,2,low,F,41,1515,1,Yes,99.8
2862,F,Road,3,3,248,4,low,F,36,3276,1,Yes,100.0
2863,D,Road,5,2,225,3,medium,F,29,2411,1,Yes,100.0
2864,F,Road,5,4,239,2,low,M,35,2107,1,Yes,100.0
2865,A,Road,5,4,256,3,low,F,43,3658,1,Yes,100.0
2866,B,Road,5,1,109,2,high,M,23,1479,1,Yes,99.7
2867,C,Road,3,3,274,2,medium,F,59,3436,1,Yes,100.0
2868,F,Road,5,4,157,4,low,F,65,1951,1,Yes,99.5
2869,D,Road,3,2,125,3,medium,F,12,1212,1,Yes,99.9
2870,F,Road,4,5,203,2,low,F,20,2421,1,Yes,100.0
2871,A,Road,3,3,120,3,low,F,55,1534,1,Yes,99.9
2872,B,Road,3,5,194,4,medium,F,21,2695,1,Yes,100.0
2873,C,Flight,4,2,257,4,high,M,58,2269,1,Yes,100.0
2874,F,Flight,4,4,233,2,medium,M,39,2291,1,Yes,100.0
2875,D,Flight,5,2,193,2,low,F,1,2775,1,Yes,92.2
2876,F,Flight,5,3,202,6,low,F,34,2936,1,Yes,100.0
2877,A,Flight,4,5,270,3,low,M,30,2720,1,Yes,100.0
2878,B,Flight,5,5,240,3,medium,F,12,2723,1,Yes,100.0
2879,C,Flight,3,2,224,3,medium,M,63,2085,1,Yes,100.0
2880,F,Flight,4,1,195,2,medium,M,19,2878,1,Yes,100.0
2881,D,Flight,3,2,165,3,medium,M,47,1639,1,Yes,99.9
2882,F,Flight,4,1,164,2,medium,F,3,1124,1,Yes,79.6
2883,A,Flight,3,1,105,3,low,M,58,1304,1,Yes,99.9
2884,B,Flight,3,1,248,3,low,M,9,2616,1,Yes,93.5
2885,C,Flight,4,3,269,6,medium,M,62,3950,1,Yes,100.0
2886,F,Flight,4,1,253,3,low,M,36,2591,1,Yes,100.0
2887,D,Flight,3,1,231,4,medium,F,60,3755,1,Yes,100.0
2888,F,Flight,3,1,164,2,low,F,39,1532,1,Yes,99.9
2889,A,Flight,3,3,176,3,medium,M,14,1705,1,Yes,99.8
2890,B,Flight,4,3,149,3,medium,M,17,1990,1,Yes,99.8
2891,C,Flight,4,5,187,5,medium,M,16,3781,1,Yes,100.0
2892,F,Flight,3,2,150,2,low,M,53,1319,1,Yes,99.9
2893,D,Flight,3,2,190,3,medium,M,18,2715,1,Yes,100.0
2894,F,Flight,4,1,226,3,low,M,42,3077,1,Yes,100.0
2895,A,Ship,3,4,98,2,low,F,32,1539,1,Yes,99.9
2896,B,Ship,3,5,152,2,medium,F,6,1800,1,Yes,83.3
2897,C,Ship,2,2,173,2,medium,M,34,1575,1,Yes,99.9
2898,F,Ship,4,1,160,2,high,F,65,1861,1,Yes,99.8
2899,D,Ship,4,2,180,3,low,M,22,1261,1,Yes,99.8
2900,F,Ship,3,2,175,2,medium,F,12,1817,1,Yes,99.9
2901,A,Ship,3,3,274,3,low,M,6,2986,1,Yes,94.2
2902,B,Ship,4,1,216,4,low,M,4,2263,1,Yes,73.1
2903,C,Ship,6,2,283,2,low,F,18,3077,1,Yes,99.9
2904,F,Ship,6,4,192,3,high,F,19,2944,1,Yes,99.8
2905,D,Ship,3,4,236,4,medium,F,43,2584,1,Yes,100.0
2906,F,Ship,4,2,232,3,high,M,46,2835,1,Yes,100.0
2907,A,Ship,2,3,204,4,low,F,20,3135,1,Yes,100.0
2908,B,Ship,3,2,138,2,medium,F,46,1436,1,Yes,99.9
2909,C,Ship,3,4,154,2,low,M,29,1016,1,Yes,99.9
2910,F,Ship,4,3,244,2,low,M,17,3125,1,Yes,100.0
2911,D,Ship,3,2,144,3,medium,F,48,1867,1,Yes,99.9
2912,F,Ship,3,4,274,3,medium,M,19,3076,1,Yes,100.0
2913,A,Ship,3,2,182,3,low,F,54,3972,1,Yes,100.0
2914,B,Ship,6,1,250,5,low,F,53,3352,1,Yes,100.0
2915,C,Ship,4,4,207,2,medium,F,14,2945,1,Yes,100.0
2916,F,Ship,3,4,242,3,high,M,54,3011,1,Yes,100.0
2917,D,Ship,5,1,154,2,low,M,37,1671,1,Yes,99.7
2918,F,Ship,4,4,176,3,medium,M,53,1472,1,Yes,99.8
2919,A,Ship,3,5,252,3,low,M,18,3701,1,Yes,100.0
2920,B,Ship,4,1,147,3,medium,M,32,1666,1,Yes,99.8
2921,C,Ship,5,3,157,4,low,M,1,1306,1,No,48.1
2922,F,Ship,3,1,257,2,medium,M,37,3517,1,Yes,100.0
2923,D,Ship,4,3,172,3,medium,F,6,1261,1,Yes,83.6
2924,F,Ship,4,3,134,3,high,F,22,1629,1,Yes,99.8
2925,A,Ship,2,2,152,4,low,F,48,1212,1,Yes,99.7
2926,B,Ship,3,1,161,3,low,F,57,1918,1,Yes,99.9
2927,C,Ship,3,1,269,3,low,M,47,3033,1,Yes,100.0
2928,F,Ship,2,3,164,2,medium,M,64,1689,1,Yes,99.9
2929,D,Ship,5,3,114,6,medium,F,60,1746,1,Yes,99.5
2930,F,Ship,6,5,213,6,low,M,7,2709,1,Yes,74.1
2931,A,Ship,4,4,255,3,medium,F,60,2777,1,Yes,100.0
2932,B,Ship,3,3,135,3,medium,F,28,1329,1,Yes,99.9
2933,C,Ship,3,2,155,3,medium,F,7,1434,1,Yes,85.6
2934,F,Ship,6,3,273,4,medium,F,32,2532,1,Yes,100.0
2935,D,Ship,4,3,135,3,low,F,15,1008,1,Yes,99.5
2936,F,Ship,4,4,170,3,low,M,29,1188,1,Yes,99.8
2937,A,Ship,6,4,138,5,medium,F,15,1181,1,Yes,99.5
2938,B,Ship,3,2,213,4,low,M,53,3502,1,Yes,100.0
2939,C,Ship,4,5,156,5,high,F,55,1619,1,Yes,99.0
2940,F,Ship,3,1,139,2,low,M,47,1241,1,Yes,99.9
2941,D,Ship,3,1,263,3,medium,M,6,2715,1,Yes,94.2
2942,F,Ship,2,3,160,4,low,F,53,1850,1,Yes,99.7
2943,A,Ship,3,3,148,2,low,M,39,1402,1,Yes,99.9
2944,B,Ship,4,3,259,3,high,M,45,3761,1,Yes,100.0
2945,C,Ship,5,4,273,3,low,F,60,3384,1,Yes,100.0
2946,F,Ship,3,2,212,3,medium,F,9,2521,1,Yes,93.5
2947,D,Ship,3,5,144,6,low,F,46,1110,1,Yes,99.6
2948,F,Ship,2,2,193,3,medium,M,64,2867,1,Yes,100.0
2949,A,Ship,5,2,198,3,low,F,44,3706,1,Yes,100.0
2950,B,Ship,3,5,207,4,low,F,45,3770,1,Yes,100.0
2951,C,Ship,6,1,236,4,low,F,10,2030,1,Yes,71.7
2952,F,Ship,4,2,165,3,low,M,7,1702,1,Yes,83.4
2953,D,Ship,3,3,162,3,low,M,3,1693,1,Yes,85.1
2954,F,Ship,4,2,184,3,low,F,63,3609,1,Yes,100.0
2955,A,Ship,5,5,145,2,medium,M,48,1834,1,Yes,99.7
2956,B,Ship,3,3,228,2,medium,M,27,3473,1,Yes,100.0
2957,C,Ship,5,5,213,2,high,M,12,2522,1,Yes,100.0
2958,F,Ship,2,2,146,3,medium,F,1,1162,1,Yes,83.3
2959,D,Ship,4,2,220,3,high,F,39,2459,1,Yes,100.0
2960,F,Ship,3,4,231,3,medium,F,49,3441,1,Yes,100.0
2961,A,Ship,3,4,212,8,low,F,56,3337,1,Yes,100.0
2962,B,Ship,4,3,202,3,low,F,48,2213,1,Yes,100.0
2963,C,Ship,5,5,208,8,low,M,39,2905,1,Yes,100.0
2964,F,Ship,3,3,200,3,low,M,46,2460,1,Yes,100.0
2965,D,Ship,3,2,250,3,low,F,37,2736,1,Yes,100.0
2966,F,Ship,3,5,126,2,low,F,29,1192,1,Yes,99.9
2967,A,Ship,4,1,222,4,medium,F,42,2762,1,Yes,100.0
2968,B,Ship,6,2,236,4,low,F,61,3140,1,Yes,100.0
2969,C,Ship,4,3,165,3,low,M,4,1484,1,Yes,83.2
2970,F,Ship,3,4,162,3,low,M,17,1700,1,Yes,99.8
2971,D,Ship,4,3,184,3,low,F,37,3436,1,Yes,100.0
2972,F,Ship,5,3,145,2,medium,M,6,1965,1,Yes,79.2
2973,A,Ship,3,4,228,2,medium,M,46,3306,1,Yes,100.0
2974,B,Ship,5,3,213,2,high,F,27,2581,1,Yes,100.0
2975,C,Ship,2,3,146,3,medium,M,18,1289,1,Yes,99.8
2976,F,Ship,4,1,220,3,high,M,2,3886,1,Yes,92.4
2977,D,Ship,3,4,231,3,medium,M,39,3792,1,Yes,100.0
2978,F,Ship,3,4,212,8,low,F,34,2750,1,Yes,100.0
2979,A,Ship,4,5,202,3,low,F,38,2651,1,Yes,100.0
2980,B,Ship,5,2,208,8,low,M,62,3450,1,Yes,100.0
2981,C,Ship,3,3,200,3,low,M,4,3791,1,Yes,93.7
2982,F,Ship,3,1,250,3,low,F,8,3617,1,Yes,93.4
2983,D,Ship,3,5,126,2,low,F,63,1141,1,Yes,99.9
2984,F,Ship,4,3,222,4,medium,M,49,3697,1,Yes,100.0
2985,A,Ship,3,3,273,6,low,M,6,1771,1,Yes,53.7
2986,B,Ship,6,5,161,4,medium,F,20,1338,1,Yes,99.5
2987,C,Ship,5,1,236,3,medium,F,10,1347,1,Yes,82.2
2988,F,Road,6,3,281,5,medium,F,8,1864,1,No,46.0
2989,D,Road,5,3,168,4,low,M,7,1298,1,No,46.4
2990,F,Road,5,1,206,4,low,M,62,1137,1,Yes,99.5
2991,A,Road,4,1,144,4,high,M,5,1294,1,No,47.8
2992,B,Road,5,3,239,5,medium,F,19,2988,1,Yes,100.0
2993,C,Road,3,5,129,3,medium,F,52,1513,1,Yes,99.9
2994,F,Road,4,5,201,4,medium,M,46,3498,1,Yes,100.0
2995,D,Road,5,5,160,3,medium,M,55,1911,1,Yes,99.9
2996,F,Road,6,5,130,6,low,F,60,1971,1,Yes,99.5
2997,A,Road,3,1,132,4,medium,M,58,1067,1,Yes,99.7
2998,B,Road,4,2,185,4,medium,F,36,2583,1,Yes,100.0
2999,C,Road,5,1,271,4,low,F,4,2718,1,Yes,73.3
3000,F,Road,5,2,168,2,medium,M,20,1539,1,Yes,99.7
3001,D,Road,5,5,154,3,medium,F,50,1389,1,Yes,99.8
3002,F,Road,3,3,203,3,low,M,4,3114,1,Yes,93.7
3003,A,Road,3,1,274,3,low,M,4,2087,1,Yes,93.7
3004,B,Road,5,4,280,4,low,F,19,3298,1,Yes,100.0
3005,C,Road,4,5,196,2,low,M,51,3151,1,Yes,100.0
3006,F,Road,5,2,159,3,medium,F,63,1675,1,Yes,99.8
3007,D,Road,5,4,269,3,medium,M,15,2522,1,Yes,100.0
3008,F,Road,4,3,161,3,low,F,52,1199,1,Yes,99.8
3009,A,Road,3,1,159,2,medium,F,44,1806,1,Yes,99.8
3010,B,Flight,5,4,147,6,medium,F,21,1145,1,Yes,99.5
3011,C,Flight,3,3,214,2,medium,F,4,3754,1,Yes,92.7
3012,F,Flight,4,5,157,4,medium,F,12,1038,1,Yes,99.5
3013,D,Flight,5,5,147,2,medium,M,19,1936,1,Yes,99.8
3014,F,Flight,5,4,182,3,medium,F,11,3545,1,Yes,100.0
3015,A,Flight,3,5,188,2,low,F,12,2711,1,Yes,100.0
3016,B,Flight,3,1,104,2,low,M,1,1021,1,Yes,81.6
3017,C,Flight,5,5,195,3,low,M,55,2641,1,Yes,100.0
3018,F,Flight,4,1,235,2,high,M,64,2107,1,Yes,100.0
3019,D,Flight,4,5,219,2,medium,F,21,3830,1,Yes,100.0
3020,F,Flight,4,5,253,2,low,F,36,3389,1,Yes,100.0
3021,A,Flight,3,3,253,4,medium,F,57,2489,1,Yes,100.0
3022,B,Flight,4,1,167,3,low,M,42,1197,1,Yes,99.8
3023,C,Flight,4,2,211,2,low,F,39,2520,1,Yes,100.0
3024,F,Flight,3,4,155,3,medium,M,4,1548,1,Yes,85.3
3025,D,Flight,6,1,231,4,medium,F,23,2455,1,Yes,100.0
3026,F,Flight,5,4,182,4,low,M,61,3063,1,Yes,100.0
3027,A,Flight,3,5,212,2,medium,M,56,3547,1,Yes,100.0
3028,B,Flight,3,1,107,3,high,F,13,1861,1,Yes,99.9
3029,C,Flight,5,2,172,4,high,F,61,1161,1,Yes,99.5
3030,F,Flight,3,2,224,3,low,M,40,2180,1,Yes,100.0
3031,D,Flight,3,4,209,3,high,F,37,3650,1,Yes,100.0
3032,F,Ship,4,5,268,2,medium,M,46,3076,1,Yes,100.0
3033,A,Ship,3,2,141,4,low,M,9,1909,1,Yes,54.2
3034,B,Ship,4,4,260,2,low,M,17,3068,1,Yes,100.0
3035,C,Ship,5,4,151,4,medium,M,10,1441,1,No,45.9
3036,F,Ship,5,2,184,2,medium,M,27,3276,1,Yes,100.0
3037,D,Ship,5,1,270,3,high,M,52,3908,1,Yes,100.0
3038,F,Ship,5,4,135,2,medium,F,20,1908,1,Yes,99.8
3039,A,Ship,4,3,276,4,low,F,3,3889,1,Yes,73.5
3040,B,Ship,4,4,177,3,medium,M,23,1142,1,Yes,99.8
3041,C,Ship,3,2,149,3,medium,F,64,1920,1,Yes,99.9
3042,F,Ship,4,3,220,4,low,M,19,3602,1,Yes,100.0
3043,D,Ship,4,5,267,3,low,F,53,3742,1,Yes,100.0
3044,F,Ship,3,2,274,3,medium,F,50,3958,1,Yes,100.0
3045,A,Ship,4,4,243,3,low,M,10,3327,1,Yes,93.8
3046,B,Ship,5,1,166,2,low,M,44,1647,1,Yes,99.7
3047,C,Ship,5,2,225,3,medium,M,1,2049,1,Yes,92.7
3048,F,Ship,3,3,138,2,medium,F,40,1117,1,Yes,99.9
3049,D,Ship,4,3,141,4,medium,F,38,1599,1,Yes,99.5
3050,F,Ship,3,4,271,4,medium,F,16,2693,1,Yes,100.0
3051,A,Ship,6,5,243,3,medium,F,35,2374,1,Yes,99.8
3052,B,Ship,3,3,231,3,medium,M,53,2333,1,Yes,100.0
3053,C,Ship,5,4,168,3,low,M,34,1779,1,Yes,99.7
3054,F,Ship,5,3,264,2,low,F,61,2025,1,Yes,100.0
3055,D,Ship,4,3,233,3,medium,M,26,2624,1,Yes,100.0
3056,F,Ship,4,2,247,5,medium,F,17,3630,1,Yes,100.0
3057,A,Ship,3,4,176,3,low,F,4,1095,1,Yes,84.2
3058,B,Ship,5,5,257,4,medium,M,31,2040,1,Yes,100.0
3059,C,Ship,3,1,147,4,low,M,18,1613,1,Yes,99.7
3060,F,Ship,5,5,195,2,low,F,6,3936,1,Yes,93.0
3061,D,Ship,2,4,153,2,medium,F,57,1264,1,Yes,99.9
3062,F,Ship,3,5,237,4,low,M,28,3903,1,Yes,100.0
3063,A,Ship,6,4,217,5,low,F,7,3725,1,Yes,73.7
3064,B,Ship,5,1,140,4,medium,M,48,1322,1,Yes,99.5
3065,C,Ship,2,5,164,4,medium,M,2,1439,1,Yes,55.6
3066,F,Ship,3,3,243,3,medium,F,27,2052,1,Yes,100.0
3067,D,Ship,3,4,158,3,high,M,41,1137,1,Yes,99.9
3068,F,Ship,5,5,180,4,high,M,10,1200,1,No,46.3
3069,A,Ship,4,3,139,3,low,M,64,1814,1,Yes,99.8
3070,B,Ship,4,4,162,2,medium,M,8,1386,1,Yes,80.5
3071,C,Ship,5,3,206,4,low,M,18,3104,1,Yes,100.0
3072,F,Ship,3,2,238,2,low,M,19,2196,1,Yes,100.0
3073,D,Ship,5,3,254,2,medium,M,4,3297,1,Yes,92.8
3074,F,Ship,5,3,270,3,medium,M,38,3669,1,Yes,100.0
3075,A,Ship,3,2,255,2,low,M,18,3732,1,Yes,100.0
3076,B,Ship,4,4,182,2,low,F,13,3332,1,Yes,100.0
3077,C,Ship,3,3,149,2,medium,M,7,1145,1,Yes,83.2
3078,F,Ship,4,1,221,5,medium,M,22,3075,1,Yes,100.0
3079,D,Ship,4,5,135,2,low,M,60,1026,1,Yes,99.8
3080,F,Ship,3,1,188,2,low,F,14,2074,1,Yes,100.0
3081,A,Ship,5,5,194,3,low,M,47,2256,1,Yes,100.0
3082,B,Ship,4,3,134,2,medium,F,29,1010,1,Yes,99.8
3083,C,Ship,3,4,210,2,medium,M,29,3142,1,Yes,100.0
3084,F,Ship,4,2,169,2,low,M,22,1322,1,Yes,99.8
3085,D,Ship,3,3,147,2,low,F,52,1040,1,Yes,99.9
3086,F,Ship,4,1,213,3,low,F,21,3585,1,Yes,100.0
3087,A,Ship,3,2,223,2,low,M,64,3595,1,Yes,100.0
3088,B,Ship,4,1,233,2,medium,F,60,2671,1,Yes,100.0
3089,C,Ship,4,2,218,2,high,M,1,2990,1,Yes,92.1
3090,F,Ship,4,5,219,3,medium,M,27,3684,1,Yes,100.0
3091,D,Ship,3,2,145,2,low,F,44,1212,1,Yes,99.9
3092,F,Ship,3,3,257,3,low,M,44,3370,1,Yes,100.0
3093,A,Ship,3,1,238,6,medium,F,59,3375,1,Yes,100.0
3094,B,Ship,4,1,145,6,low,M,32,1673,1,Yes,99.0
3095,C,Ship,4,4,243,3,low,F,36,2111,1,Yes,100.0
3096,F,Ship,4,4,179,2,low,M,18,1369,1,Yes,99.8
3097,D,Ship,2,3,188,2,high,M,25,2033,1,Yes,100.0
3098,F,Ship,4,4,168,3,medium,M,53,1782,1,Yes,99.8
3099,A,Ship,5,4,157,4,low,M,58,1252,1,Yes,99.5
3100,B,Ship,3,4,172,3,low,M,32,1943,1,Yes,99.9
3101,C,Ship,5,1,195,3,low,M,37,3690,1,Yes,100.0
3102,F,Ship,3,2,225,3,low,F,59,3488,1,Yes,100.0
3103,D,Ship,3,3,227,2,medium,F,24,2749,1,Yes,100.0
3104,F,Ship,3,5,159,3,low,M,46,1857,1,Yes,99.9
3105,A,Ship,2,2,273,3,low,M,56,2633,1,Yes,100.0
3106,B,Ship,5,2,214,6,low,F,3,3234,1,Yes,74.3
3107,C,Ship,4,2,175,3,medium,F,34,1005,1,Yes,99.5
3108,F,Ship,3,5,213,2,low,F,39,2857,1,Yes,100.0
3109,D,Ship,4,3,190,4,medium,M,12,3115,1,Yes,100.0
3110,F,Ship,4,2,265,4,medium,F,40,2637,1,Yes,100.0
3111,A,Ship,4,4,146,4,low,M,12,1899,1,Yes,99.5
3112,B,Ship,5,4,229,2,medium,F,44,2419,1,Yes,100.0
3113,C,Ship,3,5,195,3,medium,F,47,2439,1,Yes,100.0
3114,F,Ship,2,5,151,3,low,M,34,1652,1,Yes,99.8
3115,D,Ship,4,2,217,3,low,M,1,3133,1,Yes,92.1
3116,F,Ship,4,4,134,3,low,F,14,1716,1,Yes,99.8
3117,A,Ship,3,5,195,2,low,F,42,3814,1,Yes,100.0
3118,B,Ship,4,3,142,4,low,M,29,1420,1,Yes,99.5
3119,C,Ship,2,4,182,4,medium,M,1,3624,1,Yes,75.6
3120,F,Ship,4,2,155,5,low,F,48,1043,1,Yes,99.0
3121,D,Ship,3,5,238,2,medium,F,34,2726,1,Yes,100.0
3122,F,Ship,4,1,182,3,medium,F,49,3198,1,Yes,100.0
3123,A,Ship,4,1,237,4,medium,F,22,2231,1,Yes,100.0
3124,B,Ship,4,4,222,3,low,F,24,3503,1,Yes,100.0
3125,C,Road,5,4,177,2,medium,F,45,1664,1,Yes,99.7
3126,F,Road,4,4,197,3,medium,F,41,3280,1,Yes,100.0
3127,D,Road,3,1,224,3,low,F,48,3672,1,Yes,100.0
3128,F,Road,3,3,193,2,low,M,19,3097,1,Yes,100.0
3129,A,Road,3,1,169,3,high,M,24,1740,1,Yes,99.8
3130,B,Road,3,4,248,2,medium,F,15,2983,1,Yes,100.0
3131,C,Road,6,5,246,4,medium,M,50,3618,1,Yes,100.0
3132,F,Road,4,1,232,3,medium,M,55,2686,1,Yes,100.0
3133,D,Road,3,5,251,3,low,F,21,2476,1,Yes,100.0
3134,F,Road,3,4,163,3,medium,M,58,1443,1,Yes,99.9
3135,A,Road,6,4,201,2,low,M,4,5916,1,No,43.9
3136,B,Road,6,5,141,3,medium,M,8,5031,0,No,45.2
3137,C,Road,3,3,219,3,low,M,4,5956,0,No,43.5
3138,F,Road,4,3,161,3,high,M,7,4245,0,No,44.7
3139,D,Road,4,5,225,4,medium,M,5,4622,0,No,40.8
3140,F,Road,5,3,277,3,medium,M,1,4186,1,No,47.3
3141,A,Road,3,3,256,4,medium,M,3,4732,0,No,41.9
3142,B,Road,6,2,153,5,low,F,1,4597,1,No,44.6
3143,C,Road,4,4,135,3,low,F,4,4651,1,No,43.4
3144,F,Road,3,3,253,3,medium,M,7,5085,0,No,43.5
3145,D,Road,4,5,139,3,low,M,5,5335,0,No,43.0
3146,F,Road,3,5,136,2,high,F,1,4971,0,No,44.7
3147,A,Flight,4,1,172,3,medium,M,7,4883,0,No,43.5
3148,B,Flight,4,2,272,3,high,F,6,4559,0,No,42.9
3149,C,Flight,3,3,207,3,high,M,1,5632,1,No,44.4
3150,F,Flight,2,3,134,3,low,M,4,5958,0,No,42.8
3151,D,Flight,3,3,238,8,medium,F,3,4943,0,No,43.5
3152,F,Flight,2,4,274,10,high,M,3,4167,1,No,43.5
3153,A,Flight,4,2,237,6,low,F,8,5695,0,No,43.4
3154,B,Flight,3,2,153,10,high,M,2,5455,0,No,40.9
3155,C,Flight,4,1,223,3,low,F,8,4974,1,No,43.5
3156,F,Flight,3,4,149,3,low,M,1,5040,1,No,45.0
3157,D,Flight,3,5,132,3,low,M,7,4013,1,Yes,68.2
3158,F,Flight,4,2,246,3,low,F,7,5616,0,No,43.5
3159,A,Flight,4,2,159,5,low,F,4,5547,1,No,41.3
3160,B,Flight,3,1,162,8,high,F,10,5429,0,No,41.6
3161,C,Flight,3,3,123,5,medium,F,5,4292,0,No,41.8
3162,F,Flight,5,1,231,7,high,F,9,5558,0,No,42.5
3163,D,Flight,3,1,213,10,medium,M,9,4862,0,No,41.8
3164,F,Flight,5,2,160,3,high,M,1,5834,0,No,46.7
3165,A,Flight,4,4,225,5,low,M,5,5060,1,No,41.5
3166,B,Flight,3,1,178,3,low,M,3,4811,0,No,43.6
3167,C,Flight,4,1,273,3,medium,M,5,5055,0,No,43.3
3168,F,Flight,3,2,129,3,high,M,9,4342,1,No,43.3
3169,D,Ship,3,1,273,6,low,F,9,1198,1,Yes,54.0
3170,F,Ship,6,3,161,4,medium,M,8,1247,0,No,46.3
3171,A,Ship,4,5,139,3,low,F,3,5824,1,No,43.4
3172,B,Ship,3,2,136,2,high,F,6,4002,1,Yes,69.2
3173,C,Ship,4,4,172,3,medium,F,1,4201,0,No,45.4
3174,F,Ship,4,2,272,3,high,M,7,5927,0,No,43.3
3175,D,Ship,3,2,207,3,high,F,3,4909,1,No,43.6
3176,F,Ship,2,3,134,3,low,M,6,4444,1,No,43.3
3177,A,Ship,3,2,238,8,medium,M,3,4388,1,No,43.2
3178,B,Ship,2,1,274,10,high,F,1,5622,0,No,34.3
3179,C,Ship,4,3,237,6,low,M,8,5588,0,No,42.6
3180,F,Ship,3,2,153,10,high,F,7,5305,0,No,43.9
3181,D,Ship,4,2,223,3,low,M,7,4026,1,Yes,57.4
3182,F,Ship,3,5,149,3,low,F,9,5412,0,No,43.4
3183,A,Ship,3,3,132,3,low,M,6,5721,1,No,44.2
3184,B,Ship,4,3,246,3,low,F,5,4710,0,No,43.3
3185,C,Ship,4,3,159,5,low,M,4,4666,1,No,41.4
3186,F,Ship,3,3,162,8,high,F,10,4842,0,No,41.2
3187,D,Ship,3,1,123,5,medium,F,10,4231,0,No,37.9
3188,F,Ship,5,5,231,7,high,M,6,5755,0,No,43.9
3189,A,Ship,3,3,213,10,medium,M,2,4847,0,No,40.8
3190,B,Ship,5,1,160,3,high,M,2,5141,1,No,45.4
3191,C,Ship,4,3,225,5,low,M,8,4195,0,No,40.8
3192,F,Ship,3,5,178,3,low,F,3,5540,0,No,43.3
3193,D,Ship,4,5,273,3,medium,M,2,4374,0,No,43.7
3194,F,Ship,3,3,129,3,high,M,7,5197,1,No,43.2
3195,A,Ship,3,1,273,6,low,M,1,1293,0,Yes,55.0
3196,B,Ship,6,4,161,4,medium,M,3,1747,1,No,48.1
3197,C,Ship,5,2,206,4,low,M,5,1149,0,No,46.4
3198,F,Ship,4,5,296,2,medium,M,1,1678,0,Yes,80.7
3199,D,Ship,3,2,249,5,medium,F,6,1887,0,Yes,52.9
